,EEX-ITALIAN BL M CONT - SETT. PRICE,EEX-ITALIAN BL M CON.LTDT - SETT. PRICE,EEX-ITALIAN BL M CON.WVOL - SETT. PRICE,EEX-ITALIAN BL M CONT.VOL - SETT. PRICE,EEX-ITALIAN BL M CONT.IDX - SETT. PRICE,EEX-ITALIAN BL M CONT.AVG - SETT. PRICE
31/12/1999,NA,NA,NA,NA,NA,NA
03/01/2000,NA,NA,NA,NA,NA,NA
04/01/2000,NA,NA,NA,NA,NA,NA
05/01/2000,NA,NA,NA,NA,NA,NA
06/01/2000,NA,NA,NA,NA,NA,NA
07/01/2000,NA,NA,NA,NA,NA,NA
10/01/2000,NA,NA,NA,NA,NA,NA
11/01/2000,NA,NA,NA,NA,NA,NA
12/01/2000,NA,NA,NA,NA,NA,NA
13/01/2000,NA,NA,NA,NA,NA,NA
14/01/2000,NA,NA,NA,NA,NA,NA
17/01/2000,NA,NA,NA,NA,NA,NA
18/01/2000,NA,NA,NA,NA,NA,NA
19/01/2000,NA,NA,NA,NA,NA,NA
20/01/2000,NA,NA,NA,NA,NA,NA
21/01/2000,NA,NA,NA,NA,NA,NA
24/01/2000,NA,NA,NA,NA,NA,NA
25/01/2000,NA,NA,NA,NA,NA,NA
26/01/2000,NA,NA,NA,NA,NA,NA
27/01/2000,NA,NA,NA,NA,NA,NA
28/01/2000,NA,NA,NA,NA,NA,NA
31/01/2000,NA,NA,NA,NA,NA,NA
01/02/2000,NA,NA,NA,NA,NA,NA
02/02/2000,NA,NA,NA,NA,NA,NA
03/02/2000,NA,NA,NA,NA,NA,NA
04/02/2000,NA,NA,NA,NA,NA,NA
07/02/2000,NA,NA,NA,NA,NA,NA
08/02/2000,NA,NA,NA,NA,NA,NA
09/02/2000,NA,NA,NA,NA,NA,NA
10/02/2000,NA,NA,NA,NA,NA,NA
11/02/2000,NA,NA,NA,NA,NA,NA
14/02/2000,NA,NA,NA,NA,NA,NA
15/02/2000,NA,NA,NA,NA,NA,NA
16/02/2000,NA,NA,NA,NA,NA,NA
17/02/2000,NA,NA,NA,NA,NA,NA
18/02/2000,NA,NA,NA,NA,NA,NA
21/02/2000,NA,NA,NA,NA,NA,NA
22/02/2000,NA,NA,NA,NA,NA,NA
23/02/2000,NA,NA,NA,NA,NA,NA
24/02/2000,NA,NA,NA,NA,NA,NA
25/02/2000,NA,NA,NA,NA,NA,NA
28/02/2000,NA,NA,NA,NA,NA,NA
29/02/2000,NA,NA,NA,NA,NA,NA
01/03/2000,NA,NA,NA,NA,NA,NA
